key,category,action,line,tts_text,locale,character,emotion,action_cn,speed,volume,stability,similarity,language_override,text_normalization,pitch,tts_emotion,tts_instruction
game.four_kans_abortive_draw,game,four_kans_abortive_draw,四杠散了,四杠散了,zh-CN,default,dramatic,四杠散了,1,0,1,1,,true,,,
game.four_riichi_abortive_draw,game,four_riichi_abortive_draw,四家立直,四家立直,zh-CN,default,dramatic,四家立直,1,0,1,1,,true,,,
game.nine_terminals_and_honors_abortive_draw,game,nine_terminals_and_honors_abortive_draw,九种九牌,九种九牌,zh-CN,default,dramatic,九种九牌,1,0,1,1,,true,,,
game.nagashi_mangan,game,nagashi_mangan,流局满贯,流局满贯,zh-CN,default,dramatic,流局满贯,1,0,1,1,,true,,,
score.mangan,score,mangan,满贯,满贯,zh-CN,default,excited,满贯,1,0,1,1,,true,,,
score.haneman,score,haneman,跳满,跳满,zh-CN,default,excited,跳满,1,0,1,1,,true,,,
score.baiman,score,baiman,倍满,倍满,zh-CN,default,excited,倍满,1,0,1,1,,true,,,
score.sanbaiman,score,sanbaiman,三倍满,三倍满,zh-CN,default,excited,三倍满,1,0,1,1,,true,,,
score.counted_yakuman,score,counted_yakuman,累计役满,累计役满,zh-CN,default,dramatic,累计役满,1,0,1,1,,true,,,
score.yakuman,score,yakuman,役满,役满,zh-CN,default,dramatic,役满,1,0,1,1,,true,,,
score.double_yakuman,score,double_yakuman,双倍役满,双倍役满,zh-CN,default,dramatic,双倍役满,1,0,1,1,,true,,,
yaku.triple_yakuman,yaku,triple_yakuman,三倍役满,三倍役满,zh-CN,default,dramatic,三倍役满,1,0,1,1,,true,,,
yaku.quadruple_yakuman,yaku,quadruple_yakuman,四倍役满,四倍役满,zh-CN,default,dramatic,四倍役满,1,0,1,1,,true,,,
yaku.quintuple_yakuman,yaku,quintuple_yakuman,五倍役满,五倍役满,zh-CN,default,dramatic,五倍役满,1,0,1,1,,true,,,
yaku.sextuple_yakuman,yaku,sextuple_yakuman,六倍役满,六倍役满,zh-CN,default,dramatic,六倍役满,1,0,1,1,,true,,,
yakuman.kokushi,yakuman,kokushi,国士无双,国士无双,zh-CN,default,legendary,国士无双,1,0,1,1,,true,,,
yakuman.suuankou,yakuman,suuankou,四暗刻,四暗刻,zh-CN,default,legendary,四暗刻,1,0,1,1,,true,,,
yakuman.daisangen,yakuman,daisangen,大三元,大三元,zh-CN,default,legendary,大三元,1,0,1,1,,true,,,
yakuman.shousuushi,yakuman,shousuushi,小四喜,小四喜,zh-CN,default,legendary,小四喜,1,0,1,1,,true,,,
yakuman.daisuushi,yakuman,daisuushi,大四喜,大四喜,zh-CN,default,legendary,大四喜,1,0,1,1,,true,,,
yakuman.tsuuiisou,yakuman,tsuuiisou,字一色,字一色,zh-CN,default,legendary,字一色,1,0,1,1,,true,,,
yakuman.chinroutou,yakuman,chinroutou,清老头,清老头,zh-CN,default,legendary,清老头,1,0,1,1,,true,,,
yakuman.ryuuiisou,yakuman,ryuuiisou,绿一色,绿一色,zh-CN,default,legendary,绿一色,1,0,1,1,,true,,,
yakuman.chuuren,yakuman,chuuren,九莲宝灯,九莲宝灯,zh-CN,default,legendary,九莲宝灯,1,0,1,1,,true,,,
yakuman.suuankou_tanki,yakuman,suuankou_tanki,四暗刻单骑,四暗刻单骑,zh-CN,default,legendary,四暗刻单骑,1,0,1,1,,true,,,
yaku.tenhou,yaku,tenhou,天和,天和,zh-CN,default,dramatic,天和,1,0,1,1,,true,,,
yaku.chiihou,yaku,chiihou,地和,地和,zh-CN,default,dramatic,地和,1,0,1,1,,true,,,
yaku.kokushi_13_wait,yaku,kokushi_13_wait,国士无双十三面,国士无双十三面,zh-CN,default,dramatic,国士无双十三面,1,0,1,1,,true,,,
yaku.suukantsu,yaku,suukantsu,四杠子,四杠子,zh-CN,default,dramatic,四杠子,1,0,1,1,,true,,,
yaku.junsei_chuuren,yaku,junsei_chuuren,纯正九连宝灯,纯正九连宝灯,zh-CN,default,dramatic,纯正九连宝灯,1,0,1,1,,true,,,
yaku.riichi,yaku,riichi,立直,立直,zh-CN,default,neutral,立直,1,0,1,1,,true,,,
yaku.ippatsu,yaku,ippatsu,一发,一发,zh-CN,default,dramatic,一发,1,0,1,1,,true,,,
yaku.chankan,yaku,chankan,抢杠,抢杠,zh-CN,default,dramatic,抢杠,1,0,1,1,,true,,,
yaku.rinshan_kaihou,yaku,rinshan_kaihou,岭上开花,岭上开花,zh-CN,default,dramatic,岭上开花,1,0,1,1,,true,,,
yaku.haitei,yaku,haitei,海底摸月,海底摸月,zh-CN,default,dramatic,海底摸月,1,0,1,1,,true,,,
yaku.houtei,yaku,houtei,河底捞鱼,河底捞鱼,zh-CN,default,dramatic,河底捞鱼,1,0,1,1,,true,,,
yaku.ton,yaku,ton,东,东,zh-CN,default,dramatic,东,1,0,1,1,,true,,,
yaku.shaa,yaku,shaa,西,西,zh-CN,default,dramatic,西,1,0,1,1,,true,,,
yaku.nan,yaku,nan,南,南,zh-CN,default,dramatic,南,1,0,1,1,,true,,,
yaku.pei,yaku,pei,北,北,zh-CN,default,dramatic,北,1,0,1,1,,true,,,
yaku.haku,yaku,haku,白,白,zh-CN,default,dramatic,白,1,0,1,1,,true,,,
yaku.hatsu,yaku,hatsu,发,发,zh-CN,default,dramatic,发,1,0,1,1,,true,,,
yaku.chun,yaku,chun,中,中,zh-CN,default,dramatic,中,1,0,1,1,,true,,,
yaku.pinfu,yaku,pinfu,平和,平和,zh-CN,default,neutral,平和,1,0,1,1,,true,,,
yaku.tanyao,yaku,tanyao,断幺九,断幺九,zh-CN,default,neutral,断幺九,1,0,1,1,,true,,,
yaku.iipeikou,yaku,iipeikou,一杯口,一杯口,zh-CN,default,neutral,一杯口,1,0,1,1,,true,,,
yaku.chanta,yaku,chanta,混全带幺九,混全带幺九,zh-CN,default,dramatic,混全带幺九,1,0,1,1,,true,,,
yaku.honroutou,yaku,honroutou,混老头,混老头,zh-CN,default,dramatic,混老头,1,0,1,1,,true,,,
yaku.toitoi,yaku,toitoi,对对和,对对和,zh-CN,default,dramatic,对对和,1,0,1,1,,true,,,
yaku.sanankou,yaku,sanankou,三暗刻,三暗刻,zh-CN,default,dramatic,三暗刻,1,0,1,1,,true,,,
yaku.sanshoku,yaku,sanshoku,三色同顺,三色同顺,zh-CN,default,dramatic,三色同顺,1,0,1,1,,true,,,
yaku.ittsu,yaku,ittsu,一气通贯,一气通贯,zh-CN,default,dramatic,一气通贯,1,0,1,1,,true,,,
yaku.sankantsu,yaku,sankantsu,三杠子,三杠子,zh-CN,default,dramatic,三杠子,1,0,1,1,,true,,,
yaku.sanshoku_doukou,yaku,sanshoku_doukou,三色同刻,三色同刻,zh-CN,default,dramatic,三色同刻,1,0,1,1,,true,,,
yaku.junchan,yaku,junchan,纯全带幺九,纯全带幺九,zh-CN,default,dramatic,纯全带幺九,1,0,1,1,,true,,,
yaku.chinitsu,yaku,chinitsu,清一色,清一色,zh-CN,default,dramatic,清一色,1,0,1,1,,true,,,
yaku.honitsu,yaku,honitsu,混一色,混一色,zh-CN,default,dramatic,混一色,1,0,1,1,,true,,,
yaku.chiitoitsu,yaku,chiitoitsu,七对子,七对子,zh-CN,default,dramatic,七对子,1,0,1,1,,true,,,
yaku.shousangen,yaku,shousangen,小三元,小三元,zh-CN,default,dramatic,小三元,1,0,1,1,,true,,,
yaku.ryanpeikou,yaku,ryanpeikou,二杯口,二杯口,zh-CN,default,dramatic,二杯口,1,0,1,1,,true,,,
yaku.tsubamegaeshi,yaku,tsubamegaeshi,燕返,燕返,zh-CN,default,dramatic,燕返,1,0,1,1,,true,,,
yaku.kanfuri,yaku,kanfuri,杠振,杠振,zh-CN,default,dramatic,杠振,1,0,1,1,,true,,,
yaku.shiisanpuutaa,yaku,shiisanpuutaa,十二落抬,十二落抬,zh-CN,default,dramatic,十二落抬,1,0,1,1,,true,,,
yaku.go_men_zei,yaku,go_men_zei,五门齐,五门齐,zh-CN,default,dramatic,五门齐,1,0,1,1,,true,,,
yaku.sanrenkou,yaku,sanrenkou,三连刻,三连刻,zh-CN,default,dramatic,三连刻,1,0,1,1,,true,,,
yaku.isshoku_sanjun,yaku,isshoku_sanjun,一色三同顺,一色三同顺,zh-CN,default,dramatic,一色三同顺,1,0,1,1,,true,,,
yaku.one_pin_moon,yaku,one_pin_moon,一筒摸月,一筒摸月,zh-CN,default,dramatic,一筒摸月,1,0,1,1,,true,,,
yaku.nine_pin_fish,yaku,nine_pin_fish,九筒捞鱼,九筒捞鱼,zh-CN,default,dramatic,九筒捞鱼,1,0,1,1,,true,,,
yaku.renhou,yaku,renhou,人和,人和,zh-CN,default,dramatic,人和,1,0,1,1,,true,,,
yaku.daisharin,yaku,daisharin,大车轮,大车轮,zh-CN,default,dramatic,大车轮,1,0,1,1,,true,,,
yaku.daichikurin,yaku,daichikurin,大竹林,大竹林,zh-CN,default,dramatic,大竹林,1,0,1,1,,true,,,
yaku.daisuulin,yaku,daisuulin,大数邻,大数邻,zh-CN,default,dramatic,大数邻,1,0,1,1,,true,,,
yaku.suurenkou,yaku,suurenkou,四连刻,四连刻,zh-CN,default,dramatic,四连刻,1,0,1,1,,true,,,
yaku.ishigami_sannen,yaku,ishigami_sannen,石上三年,石上三年,zh-CN,default,dramatic,石上三年,1,0,1,1,,true,,,
yaku.daichisei,yaku,daichisei,大七星,大七星,zh-CN,default,dramatic,大七星,1,0,1,1,,true,,,
yaku.dora,yaku,dora,宝牌,宝牌,zh-CN,default,neutral,宝牌,1,0,1,1,,true,,,
yaku.dora_2,yaku,dora_2,宝牌2,宝牌2,zh-CN,default,neutral,宝牌2,1,0,1,1,,true,,,
yaku.dora_3,yaku,dora_3,宝牌3,宝牌3,zh-CN,default,neutral,宝牌3,1,0,1,1,,true,,,
yaku.dora_4,yaku,dora_4,宝牌4,宝牌4,zh-CN,default,neutral,宝牌4,1,0,1,1,,true,,,
yaku.dora_5,yaku,dora_5,宝牌5,宝牌5,zh-CN,default,neutral,宝牌5,1,0,1,1,,true,,,
yaku.dora_6,yaku,dora_6,宝牌6,宝牌6,zh-CN,default,neutral,宝牌6,1,0,1,1,,true,,,
yaku.dora_7,yaku,dora_7,宝牌7,宝牌7,zh-CN,default,neutral,宝牌7,1,0,1,1,,true,,,
yaku.dora_8,yaku,dora_8,宝牌8,宝牌8,zh-CN,default,neutral,宝牌8,1,0,1,1,,true,,,
yaku.dora_9,yaku,dora_9,宝牌9,宝牌9,zh-CN,default,neutral,宝牌9,1,0,1,1,,true,,,
yaku.dora_10,yaku,dora_10,宝牌10,宝牌10,zh-CN,default,neutral,宝牌10,1,0,1,1,,true,,,
yaku.dora_11,yaku,dora_11,宝牌11,宝牌11,zh-CN,default,neutral,宝牌11,1,0,1,1,,true,,,
yaku.dora_12,yaku,dora_12,宝牌12,宝牌12,zh-CN,default,neutral,宝牌12,1,0,1,1,,true,,,
yaku.dora_13,yaku,dora_13,宝牌13,宝牌13,zh-CN,default,neutral,宝牌13,1,0,1,1,,true,,,
yaku.dora_many,yaku,dora_many,宝牌一大堆,宝牌一大堆,zh-CN,default,neutral,宝牌一大堆,1,0,1,1,,true,,,
tile.m1,tile,m1,一万,一万,zh-CN,default,neutral,一万,1,0,1,1,,true,,,
tile.m2,tile,m2,二万,二万,zh-CN,default,neutral,二万,1,0,1,1,,true,,,
tile.m3,tile,m3,三万,三万,zh-CN,default,neutral,三万,1,0,1,1,,true,,,
tile.m4,tile,m4,四万,四万,zh-CN,default,neutral,四万,1,0,1,1,,true,,,
tile.m5,tile,m5,五万,五万,zh-CN,default,neutral,五万,1,0,1,1,,true,,,
tile.m6,tile,m6,六万,六万,zh-CN,default,neutral,六万,1,0,1,1,,true,,,
tile.m7,tile,m7,七万,七万,zh-CN,default,neutral,七万,1,0,1,1,,true,,,
tile.m8,tile,m8,八万,八万,zh-CN,default,neutral,八万,1,0,1,1,,true,,,
tile.m9,tile,m9,九万,九万,zh-CN,default,neutral,九万,1,0,1,1,,true,,,
tile.p1,tile,p1,一筒,,zh-CN,default,neutral,一筒,1,0,1,1,,true,,,
tile.p2,tile,p2,二筒,二筒,zh-CN,default,neutral,二筒,1,0,1,1,,true,,,
tile.p3,tile,p3,三筒,三筒,zh-CN,default,neutral,三筒,1,0,1,1,,true,,,
tile.p4,tile,p4,四筒,四筒,zh-CN,default,neutral,四筒,1,0,1,1,,true,,,
tile.p5,tile,p5,五筒,五筒,zh-CN,default,neutral,五筒,1,0,1,1,,true,,,
tile.p6,tile,p6,六筒,六筒,zh-CN,default,neutral,六筒,1,0,1,1,,true,,,
tile.p7,tile,p7,七筒,七筒,zh-CN,default,neutral,七筒,1,0,1,1,,true,,,
tile.p8,tile,p8,八筒,八筒,zh-CN,default,neutral,八筒,1,0,1,1,,true,,,
tile.p9,tile,p9,九筒,九筒,zh-CN,default,neutral,九筒,1,0,1,1,,true,,,
tile.s1,tile,s1,幺鸡,,zh-CN,default,neutral,一索,1,0,1,1,,true,,,
tile.s2,tile,s2,二条,,zh-CN,default,neutral,二索,1,0,1,1,,true,,,
tile.s3,tile,s3,三条,,zh-CN,default,neutral,三索,1,0,1,1,,true,,,
tile.s4,tile,s4,四条,,zh-CN,default,neutral,四索,1,0,1,1,,true,,,
tile.s5,tile,s5,五条,,zh-CN,default,neutral,五索,1,0,1,1,,true,,,
tile.s6,tile,s6,六条,,zh-CN,default,neutral,六索,1,0,1,1,,true,,,
tile.s7,tile,s7,七条,,zh-CN,default,neutral,七索,1,0,1,1,,true,,,
tile.s8,tile,s8,八条,,zh-CN,default,neutral,八索,1,0,1,1,,true,,,
tile.s9,tile,s9,九条,,zh-CN,default,neutral,九索,1,0,1,1,,true,,,
tile.z1,tile,z1,东风,,zh-CN,default,neutral,东,1,0,1,1,,true,,,
tile.z2,tile,z2,南风,,zh-CN,default,neutral,南,1,0,1,1,,true,,,
tile.z3,tile,z3,西风,,zh-CN,default,neutral,西,1,0,1,1,,true,,,
tile.z4,tile,z4,北风,,zh-CN,default,neutral,北,1,0,1,1,,true,,,
tile.z5,tile,z5,白板,,zh-CN,default,neutral,白,1,0,1,1,,true,,,
tile.z6,tile,z6,发财,,zh-CN,default,neutral,发,1,0,1,1,,true,,,
tile.z7,tile,z7,红中,,zh-CN,default,neutral,中,1,0,1,1,,true,,,
